PRODUCT TITLE,PRODUCT DESCRIPTION,COLOR,SIZE,MATERIAL
Halo-Halo Keychain,"Miniature halo-halo dessert keychain made from clay and resin, featuring a clear plastic cup filled with detailed molded ingredients. The contents include crushed ice, purple ube, yellow leche flan, and assorted colored layers representing traditional halo-halo toppings. Available in two variations: with lid and without lid. Each cup is securely attached to a metal keyring, suitable for use as a charm on bags, keys, or lanyards.","Transparent, Multi-Colored",SMALL,"Clay, Resin"
Filipino Funny Magnets,"A set of novelty refrigerator magnets featuring humorous and culturally iconic Filipino phrases in Tagalog, each paired with playful cartoon-style illustrations. The designs include references to everyday Filipino expressions, food items, and popular sayings such as “May mumu dyan,” “Bawal umihi dito,” and “Filipino time.” Each magnet is square-shaped and compact, ideal for decorating refrigerators, lockers, or magnetic boards. Sold as a themed set or individually, these magnets celebrate Filipino humor and nostalgia through bold visuals and witty text.",Multi-Colored,2 x 2 in,Vinyl-Coated Magnetic Sheet
"Filipino Snacks Parody Stickers (Skyflakes, Susmaryosep, Potchi)","A set of Filipino parody snack stickers inspired by iconic local brands. Each sticker features a humorous twist on familiar packaging: “Susmaryosep” mimics Skyflakes crackers with a euphemistic exclamation, while “Potcha” parodies Potchi gummies with a playful take on Filipino slang. Printed in full color with hand-drawn designs, these stickers celebrate Filipino humor and pop culture. They are waterproof, matte-finished, and designed to be durable and easy to apply on laptops, water bottles, notebooks, and more.",Multi-Colored,SUSMARYOSEP: 3.5 IN x 2 IN AND POTCHA: 3.25 IN x 1.75 IN,Vinyl Sticker (Matte Finish)
Philippine-Inspired Monogram Keychain,"A 2-in tall handmade keychain featuring a monogram letter design inspired by the Philippine flag. The front showcases the iconic three stars and sun motif in yellow, set against a backdrop of blue and red. The reverse side is decorated with red and blue glitter. Each piece is crafted from resin with embedded sticker elements and metal findings, made in a smoke-free, pet-free household in suburban Dallas.","Red, Blue, Yellow",2 IN,"Resin, Sticker, Glitter, Metal Findings"
Filipino Dessert Drink Stickers: Taho and Iskrambol,"A pair of illustrated stickers inspired by iconic Filipino street drinks-Taho and Iskrambol. Each sticker features a playful, hand-drawn design: Taho showcases a silken tofu cup with syrup and sago, commonly sold in the mornings, while Iskrambol depicts a colorful iced dessert topped with chocolate syrup, milk, marshmallows, and sprinkles, popular in the afternoons. Printed on waterproof vinyl with a matte finish, these stickers are ideal for party decor, personal accessories, or cultural-themed gifts. handmade in a smoke-free, pet-free space in Dallas, Texas",Multi-Colored,APPRO x . 3 IN x 2.3 IN,Vinyl Sticker (Matte Finish)
Wala Akong Pake! - Filipino Plastic Bag Sticker (STK-PKE-001),"A waterproof vinyl sticker designed as a playful parody of the classic “Thank You” plastic grocery bag, featuring a smiling orange face and the Tagalog phrase “Wala akong pake” (“I don’t care”). This hand-drawn design adds a humorous Filipino twist to a familiar everyday item, making it ideal for party decor, personal accessories, or cultural-themed gifts. Crafted with a matte finish for a smooth texture and easy application.",White With Orange-Black Accents,APPRO x . 3 IN x 2.75 IN,Vinyl Sticker (Matte Finish)
"I'm Not Late, I'm on Filipino Time! - Funny Filipino Sticker","A 3-in vinyl sticker featuring a hand-drawn wristwatch with the Philippine flag on the strap and the phrase “I’m not late, I’m on Filipino time.” This design humorously captures a well-known cultural quirk-Filipino gatherings often start later than scheduled, making this sticker a playful nod to shared experiences. Printed with a matte finish, it’s waterproof and easy to apply, ideal for party decor, journals, laptops, or cultural-themed gifts.",Multi-Colored,3 x 3 IN,Vinyl Sticker (Matte Finish)
Isaw (Chicken Gizzard) - Philippine Street Food Sticker,"A 3-in vinyl sticker featuring a cartoon-style illustration of Isaw, a beloved Filipino street food made from grilled chicken intestines or gizzards, often skewered and served with vinegar dip. The design captures the iconic look of the kabob-style snack, making it a fun and culturally rich addition to party decor, journals, laptops, or food-themed collections. Printed with a matte finish, this sticker is waterproof, repositionable, and handmade in a smoke-free, pet-free space in Dallas, Texas.",Brown,3 x 3 IN,Vinyl Sticker (Matte Finish)
Baguio-Inspired Barrel Man: A Wood Carved Sticker Souvenir,"A 4-in vinyl sticker inspired by the iconic Barrel Man wood-carved souvenir from Baguio City, Philippines. This cheeky design pays tribute to a beloved piece of Filipino kitsch, known for its humorous reveal and playful cultural symbolism. Featuring a cartoon-style illustration, the sticker is printed with a matte finish, making it waterproof, repositionable, and ideal for party decor, journals, laptops, or novelty collections. handmade in a smoke-free, pet-free space in Dallas, Texas.",Multi-Colored,4 IN x 3 IN,Vinyl Sticker (Matte Finish)
Laban Lang! - Motivational Sticker Tag,"A 4-in vinyl sticker featuring a pop-up window graphic with the Tagalog phrase “Laban Lang!”-a motivational expression meaning “Keep fighting on.” Designed with a holographic finish, this sticker adds a reflective shine to its minimalist layout, making it ideal for journals, laptops, water bottles, or party decor. Printed with durable ink on waterproof vinyl, it’s repositionable and handmade in a smoke-free, pet-free space in Dallas, Texas.",Black/Yellow,APPRO x . 4 IN x 1.25 IN,"Vinyl, Ink"
Bilo-Bilo: Filipino Dessert Keychain (KCH-BLO-001),"A handcrafted keychain inspired by Bilo-Bilo, a traditional Filipino dessert known for its colorful mix of crushed ice, milk, ube, nata de coco, langka, mochi, sago, and sweet potatoes. This miniature replica is made from resin, polymer clay, foam, beads, and a metal keychain ring, capturing the layered textures and vibrant ingredients of the real dessert. Designed as a decorative charm, it’s ideal for cultural-themed accessories, gifts, or collectibles. keychain only-not edible.",Multi-Colored,APPRO x . 2 IN TALL,"Resin, Polymer Clay, Foam, Beads, Metal Keychain Ring"
Adulting Awards in Filipino Sticker Tags,"A collection of vinyl stickers designed as colorful award ribbons featuring humorous Filipino phrases that celebrate everyday adult wins. Each sticker showcases a playful Tagalog message such as “Hindi Gumastos Today!”, “Naligo Ako Today!”, and “Wow, Galing!”, printed in bold text on ribbon-style graphics. These stickers are waterproof, holographic, and repositionable-perfect for planners, laptops, party decor, or gifting.",Multi-Colored,APPRO x . 4 IN x 2 IN,"Vinyl, Ink"
"Ay Nako, Girl! - Filipino Hugot Lines Sticker (STK-AYN-001)","A 3-in vinyl sticker featuring the bold Tagalog phrase “Ay nako, girl!”-a playful Filipino expression synonymous with “OMG, girl!” The design showcases black cursive text over a gradient background of pink, orange, and yellow, framed by a white border. This sticker captures the sass and humor of everyday Filipino conversations, making it perfect for party decor, journals, laptops, or cultural-themed gifts.",Multi-Colored,3 IN x 2 IN,"Vinyl, Ink"
Fruit Salad: Filipino Dessert Keychain (KCH-FRS-001),"A handcrafted keychain inspired by Fruit Salad, a classic Filipino dessert known for its colorful mix of fruits and sweet ingredients. This miniature replica features a dessert bowl crafted from resin, polymer clay, foam, and beads, representing elements like cherries, jackfruit, coconut, nata de coco, kaong, sago, jellies, ube, and milk. The charm is securely attached to a metal keychain ring and designed as a decorative accessory. keychain only-not edible.",Multi-Colored,APPRO x . 2 IN TALL,"Resin, Polymer Clay, Foam, Beads, Metal Keychain Ring"
Buko Pandan: Filipino Dessert Keychain (KCH-BKP-001),"A handcrafted keychain inspired by Buko Pandan, a beloved Filipino dessert known for its creamy texture and vibrant green jelly pieces. This miniature replica features a dessert cup crafted from resin, polymer clay, foam, and beads, representing ingredients like milk, pandan extract, nata de coco, sago, kaong, and assorted jellies. The charm is securely attached to a metal keychain ring and designed as a decorative accessory. keychain only-not edible.",Multi-Colored,APPRO x . 2 IN TALL,"Resin, Polymer Clay, Foam, Beads, Metal Keychain Ring"
Fruit Salad: Filipino Life Size Dessert Cup Décor (FGN-FRS-001),"A realistic fake food art of a classic Filipino dessert, the fruit salad. Made with upcycle from glass from the thrift store, handmade parts, and resin. This can be a decorative piece for your house, dessert shop, office, or anywhere really!",Multi-Colored,Unidentified,"Resin, Polymer Clay, Foam, Beads"
Buko Pandan: Filipino Life Size Dessert Cup Décor (FGN-BKP-001),"A realistic fake food art of a classic Filipino dessert, the buko pandan. Made with upcycle from glass from the thrift store, handmade parts, and resin. This can be a decorative piece for your house, dessert shop, office, or anywhere really!",Green,Unidentified,"Resin, Polymer Clay, Foam, Beads"
