PRODUCT TITLE,PRODUCT DESCRIPTION,COLOR,SIZE,MATERIAL,TEXT_CONTENT
Halo-Halo Keychain,"Miniature halo-halo dessert keychain made from clay and resin, featuring a clear plastic cup filled with detailed molded ingredients. The contents include crushed ice, purple ube, yellow leche flan, and assorted colored layers representing traditional halo-halo toppings. Available in two variations: with lid and without lid. Each cup is securely attached to a metal keyring, suitable for use as a charm on bags, keys, or lanyards.","Transparent, Multi-Colored",SMALL,"Clay, Resin",halo halo keychain miniature halo halo dessert keychain made from clay and resin featuring a clear plastic cup filled with detailed molded ingredients the contents include crushed ice purple ube yellow leche flan and assorted colored layers representing traditional halo halo toppings available in two variations with lid and without lid each cup is securely attached to a metal keyring suitable for use as a charm on bags keys or lanyards transparent multi colored small clay resin
Filipino Funny Magnets,"A set of novelty refrigerator magnets featuring humorous and culturally iconic Filipino phrases in Tagalog, each paired with playful cartoon-style illustrations. The designs include references to everyday Filipino expressions, food items, and popular sayings such as “May mumu dyan,” “Bawal umihi dito,” and “Filipino time.” Each magnet is square-shaped and compact, ideal for decorating refrigerators, lockers, or magnetic boards. Sold as a themed set or individually, these magnets celebrate Filipino humor and nostalgia through bold visuals and witty text.",Multi-Colored,2 x 2 in,Vinyl-Coated Magnetic Sheet,filipino funny magnets a set of novelty refrigerator magnets featuring humorous and culturally iconic filipino phrases in tagalog each paired with playful cartoon style illustrations the designs include references to everyday filipino expressions food items and popular sayings such as may mumu dyan bawal umihi dito and filipino time each magnet is square shaped and compact ideal for decorating refrigerators lockers or magnetic boards sold as a themed set or individually these magnets celebrate filipino humor and nostalgia through bold visuals and witty text multi colored 2 x 2 in vinyl coated magnetic sheet
"Filipino Snacks Parody Stickers (Skyflakes, Susmaryosep, Potchi)","A set of Filipino parody snack stickers inspired by iconic local brands. Each sticker features a humorous twist on familiar packaging: “Susmaryosep” mimics Skyflakes crackers with a euphemistic exclamation, while “Potcha” parodies Potchi gummies with a playful take on Filipino slang. Printed in full color with hand-drawn designs, these stickers celebrate Filipino humor and pop culture. They are waterproof, matte-finished, and designed to be durable and easy to apply on laptops, water bottles, notebooks, and more.",Multi-Colored,SUSMARYOSEP: 3.5 IN x 2 IN AND POTCHA: 3.25 IN x 1.75 IN,Vinyl Sticker (Matte Finish),filipino snacks parody stickers skyflakes susmaryosep potchi a set of filipino parody snack stickers inspired by iconic local brands each sticker features a humorous twist on familiar packaging susmaryosep mimics skyflakes crackers with a euphemistic exclamation while potcha parodies potchi gummies with a playful take on filipino slang printed in full color with hand drawn designs these stickers celebrate filipino humor and pop culture they are waterproof matte finished and designed to be durable and easy to apply on laptops water bottles notebooks and more multi colored susmaryosep 3 5 in x 2 in and potcha 3 25 in x 1 75 in vinyl sticker matte finish
Philippine-Inspired Monogram Keychain,"A 2-in tall handmade keychain featuring a monogram letter design inspired by the Philippine flag. The front showcases the iconic three stars and sun motif in yellow, set against a backdrop of blue and red. The reverse side is decorated with red and blue glitter. Each piece is crafted from resin with embedded sticker elements and metal findings, made in a smoke-free, pet-free household in suburban Dallas.","Red, Blue, Yellow",2 IN,"Resin, Sticker, Glitter, Metal Findings",philippine inspired monogram keychain a 2 in tall handmade keychain featuring a monogram letter design inspired by the philippine flag the front showcases the iconic three stars and sun motif in yellow set against a backdrop of blue and red the reverse side is decorated with red and blue glitter each piece is crafted from resin with embedded sticker elements and metal findings made in a smoke free pet free household in suburban dallas red blue yellow 2 in resin sticker glitter metal findings
Filipino Dessert Drink Stickers: Taho and Iskrambol,"A pair of illustrated stickers inspired by iconic Filipino street drinks-Taho and Iskrambol. Each sticker features a playful, hand-drawn design: Taho showcases a silken tofu cup with syrup and sago, commonly sold in the mornings, while Iskrambol depicts a colorful iced dessert topped with chocolate syrup, milk, marshmallows, and sprinkles, popular in the afternoons. Printed on waterproof vinyl with a matte finish, these stickers are ideal for party decor, personal accessories, or cultural-themed gifts. handmade in a smoke-free, pet-free space in Dallas, Texas",Multi-Colored,APPRO x . 3 IN x 2.3 IN,Vinyl Sticker (Matte Finish),filipino dessert drink stickers taho and iskrambol a pair of illustrated stickers inspired by iconic filipino street drinks taho and iskrambol each sticker features a playful hand drawn design taho showcases a silken tofu cup with syrup and sago commonly sold in the mornings while iskrambol depicts a colorful iced dessert topped with chocolate syrup milk marshmallows and sprinkles popular in the afternoons printed on waterproof vinyl with a matte finish these stickers are ideal for party decor personal accessories or cultural themed gifts handmade in a smoke free pet free space in dallas texas multi colored appro x 3 in x 2 3 in vinyl sticker matte finish
Wala Akong Pake! - Filipino Plastic Bag Sticker (STK-PKE-001),"A waterproof vinyl sticker designed as a playful parody of the classic “Thank You” plastic grocery bag, featuring a smiling orange face and the Tagalog phrase “Wala akong pake” (“I don’t care”). This hand-drawn design adds a humorous Filipino twist to a familiar everyday item, making it ideal for party decor, personal accessories, or cultural-themed gifts. Crafted with a matte finish for a smooth texture and easy application.",White With Orange-Black Accents,APPRO x . 3 IN x 2.75 IN,Vinyl Sticker (Matte Finish),wala akong pake filipino plastic bag sticker stk pke 001 a waterproof vinyl sticker designed as a playful parody of the classic thank you plastic grocery bag featuring a smiling orange face and the tagalog phrase wala akong pake i don t care this hand drawn design adds a humorous filipino twist to a familiar everyday item making it ideal for party decor personal accessories or cultural themed gifts crafted with a matte finish for a smooth texture and easy application white with orange black accents appro x 3 in x 2 75 in vinyl sticker matte finish
"I'm Not Late, I'm on Filipino Time! - Funny Filipino Sticker","A 3-in vinyl sticker featuring a hand-drawn wristwatch with the Philippine flag on the strap and the phrase “I’m not late, I’m on Filipino time.” This design humorously captures a well-known cultural quirk-Filipino gatherings often start later than scheduled, making this sticker a playful nod to shared experiences. Printed with a matte finish, it’s waterproof and easy to apply, ideal for party decor, journals, laptops, or cultural-themed gifts.",Multi-Colored,3 x 3 IN,Vinyl Sticker (Matte Finish),i m not late i m on filipino time funny filipino sticker a 3 in vinyl sticker featuring a hand drawn wristwatch with the philippine flag on the strap and the phrase i m not late i m on filipino time this design humorously captures a well known cultural quirk filipino gatherings often start later than scheduled making this sticker a playful nod to shared experiences printed with a matte finish it s waterproof and easy to apply ideal for party decor journals laptops or cultural themed gifts multi colored 3 x 3 in vinyl sticker matte finish
Isaw (Chicken Gizzard) - Philippine Street Food Sticker,"A 3-in vinyl sticker featuring a cartoon-style illustration of Isaw, a beloved Filipino street food made from grilled chicken intestines or gizzards, often skewered and served with vinegar dip. The design captures the iconic look of the kabob-style snack, making it a fun and culturally rich addition to party decor, journals, laptops, or food-themed collections. Printed with a matte finish, this sticker is waterproof, repositionable, and handmade in a smoke-free, pet-free space in Dallas, Texas.",Brown,3 x 3 IN,Vinyl Sticker (Matte Finish),isaw chicken gizzard philippine street food sticker a 3 in vinyl sticker featuring a cartoon style illustration of isaw a beloved filipino street food made from grilled chicken intestines or gizzards often skewered and served with vinegar dip the design captures the iconic look of the kabob style snack making it a fun and culturally rich addition to party decor journals laptops or food themed collections printed with a matte finish this sticker is waterproof repositionable and handmade in a smoke free pet free space in dallas texas brown 3 x 3 in vinyl sticker matte finish
Baguio-Inspired Barrel Man: A Wood Carved Sticker Souvenir,"A 4-in vinyl sticker inspired by the iconic Barrel Man wood-carved souvenir from Baguio City, Philippines. This cheeky design pays tribute to a beloved piece of Filipino kitsch, known for its humorous reveal and playful cultural symbolism. Featuring a cartoon-style illustration, the sticker is printed with a matte finish, making it waterproof, repositionable, and ideal for party decor, journals, laptops, or novelty collections. handmade in a smoke-free, pet-free space in Dallas, Texas.",Multi-Colored,4 IN x 3 IN,Vinyl Sticker (Matte Finish),baguio inspired barrel man a wood carved sticker souvenir a 4 in vinyl sticker inspired by the iconic barrel man wood carved souvenir from baguio city philippines this cheeky design pays tribute to a beloved piece of filipino kitsch known for its humorous reveal and playful cultural symbolism featuring a cartoon style illustration the sticker is printed with a matte finish making it waterproof repositionable and ideal for party decor journals laptops or novelty collections handmade in a smoke free pet free space in dallas texas multi colored 4 in x 3 in vinyl sticker matte finish
Laban Lang! - Motivational Sticker Tag,"A 4-in vinyl sticker featuring a pop-up window graphic with the Tagalog phrase “Laban Lang!”-a motivational expression meaning “Keep fighting on.” Designed with a holographic finish, this sticker adds a reflective shine to its minimalist layout, making it ideal for journals, laptops, water bottles, or party decor. Printed with durable ink on waterproof vinyl, it’s repositionable and handmade in a smoke-free, pet-free space in Dallas, Texas.",Black/Yellow,APPRO x . 4 IN x 1.25 IN,"Vinyl, Ink",laban lang motivational sticker tag a 4 in vinyl sticker featuring a pop up window graphic with the tagalog phrase laban lang a motivational expression meaning keep fighting on designed with a holographic finish this sticker adds a reflective shine to its minimalist layout making it ideal for journals laptops water bottles or party decor printed with durable ink on waterproof vinyl it s repositionable and handmade in a smoke free pet free space in dallas texas black yellow appro x 4 in x 1 25 in vinyl ink
