"Product name","Product description","Price","Category","Subcategory","Color","Size","Material","Tags","Product link","Image link","Brand / seller name"
"Flowers Convertible Puso Wedding Tote","A versatile hobo-style tote embroidered with floral motifs, designed for weddings and crafted from upcycled fabric and leather.","PHP 11172.22","Bags","Wedding Tote","White","Unspecified","Upcycled fabric, leather","wedding, tote, floral embroidery, Filipino, sustainable","Unspecified","Unspecified","SintaWeddings"
"Manila Jeepney 3-in-1 Handbag","A colorful handbag inspired by the iconic jeepney, featuring upcycled fabric and leather with multifunctional design.","PHP 12406.79","Bags","Handbag","Multicolor","Unspecified","Upcycled fabric, leather","jeepney, handbag, Filipino, sustainable","Unspecified","Unspecified","SintaWeddings"
"Vinia Hardin Fanny Pack","A belt-style fanny pack handwoven with upcycled fabric and leather, blending practicality with Filipino craftsmanship.","PHP 4875.93","Bags","Fanny Pack","Black","Unspecified","Upcycled fabric, leather","fanny pack, Filipino, sustainable","Unspecified","Unspecified","SintaWeddings"
"Sling Bag (Pinilian/Inabel Weave)","A crossbody sling bag showcasing traditional Pinilian/Inabel weaving, paired with upcycled fabric for modern use.","PHP 5554.94","Bags","Sling Bag","Blue","Unspecified","Upcycled fabric, Pinilian/Inabel weave","sling bag, Filipino, handwoven, sustainable","Unspecified","Unspecified","SintaWeddings"
"Alon Woven Waves Shoulder Bag","A shoulder bag with wave-pattern weaving, combining upcycled fabric and leather for a bold, eco-conscious design.","PHP 12653.70","Bags","Shoulder Bag","Blue","Unspecified","Upcycled fabric, leather","shoulder bag, woven waves, Filipino, sustainable","Unspecified","Unspecified","SintaWeddings"
"Buslo Micro Crossbody Bag","A compact crossbody bag crafted from upcycled fabric and leather, designed for everyday wear with Filipino flair.","PHP 7591.98","Bags","Crossbody Bag","Brown","Small","Upcycled fabric, leather","micro bag, crossbody, Filipino, sustainable","Unspecified","Unspecified","SintaWeddings"
"Luna Abaca Clutch","A handwoven clutch made from abaca fiber, adorned with floral embroidery for a refined Filipino aesthetic.","PHP 6357.41","Bags","Clutch","Natural","Unspecified","Abaca fiber, embroidery","clutch, abaca, floral embroidery, Filipino","Unspecified","Unspecified","SintaWeddings"
"Sampaguita Sobre Wedding Shoulder Bag","A wedding shoulder bag embroidered with sampaguita flowers, symbolizing purity and Filipino heritage.","PHP 5987.04","Bags","Wedding Shoulder Bag","White","Unspecified","Upcycled fabric, embroidery","sampaguita, wedding bag, embroidery, Filipino","Unspecified","Unspecified","SintaWeddings"
"Bento Crossbody Bag","A structured crossbody bag crafted from upcycled fabric and leather, designed for versatility and sustainability.","PHP 8394.44","Bags","Crossbody Bag","Black","Unspecified","Upcycled fabric, leather","crossbody, Filipino, sustainable","Unspecified","Unspecified","SintaWeddings"
"Puso Micro Bag Charms","Miniature woven bag charms shaped like the traditional puso rice pouch, made with upcycled fabric and leather.","PHP 5184.57","Bags","Bag Charms","Multicolor","Micro","Upcycled fabric, leather","charm, puso, Filipino, sustainable","Unspecified","Unspecified","SintaWeddings"
"Puso Pyramid Bridal Crossbody Bag","A bridal crossbody bag shaped like a pyramid puso, handwoven with upcycled fabric and leather.","PHP 6912.96","Bags","Bridal Crossbody Bag","White","Unspecified","Upcycled fabric, leather","bridal, pyramid, crossbody, Filipino","Unspecified","Unspecified","SintaWeddings"
"Minimalist Filipino Unity Veil","A simple, elegant veil used in the Filipino wedding cord and veil ceremony.","PHP 1604.32","Wedding Ceremony","Unity Veil","White","Unspecified","Fabric","veil, minimalist, Filipino, wedding","Unspecified","Unspecified","SintaWeddings"
"Woven Abaca Unity Cord Yugal","A lasso-style unity cord handwoven from abaca fiber, symbolizing unity in Filipino weddings.","PHP 1542.59","Wedding Ceremony","Unity Cord","Natural","Unspecified","Abaca fiber","cord, yugal, abaca, Filipino","Unspecified","Unspecified","SintaWeddings"
"Filipiniana Classic Unity Veil","A traditional veil designed for Filipino cord and veil ceremonies, reflecting Filipiniana heritage.","PHP 2283.33","Wedding Ceremony","Unity Veil","White","Unspecified","Fabric","veil, Filipiniana, Filipino, wedding","Unspecified","Unspecified","SintaWeddings"
"Pearl Rosary Unity Cord Lasso Yugal","A unity cord lasso made with rosary beads, blending faith and Filipino wedding tradition.","PHP 1604.32","Wedding Ceremony","Unity Cord","White","Unspecified","Rosary beads","cord, rosary, Filipino, yugal","Unspecified","Unspecified","SintaWeddings"
"Sphere Arras Arrhae Unity Wedding Coins","A set of arrhae coins with sphere design, symbolizing prosperity in Filipino weddings.","PHP 1666.05","Wedding Ceremony","Arrhae Coins","Gold","Unspecified","Metal","arras, coins, Filipino, wedding","Unspecified","Unspecified","SintaWeddings"
"Wedding Unity Cord Lasso Yugal","A classic unity cord lasso used in Filipino wedding ceremonies.","PHP 1542.59","Wedding Ceremony","Unity Cord","White","Unspecified","Fabric","cord, yugal, Filipino, wedding","Unspecified","Unspecified","SintaWeddings"
"Embroidered Filipino Unity Veil","A veil embroidered with delicate patterns, used in Filipino cord and veil ceremonies.","PHP 2591.98","Wedding Ceremony","Unity Veil","White","Unspecified","Embroidered fabric","veil, embroidered, Filipino, wedding","Unspecified","Unspecified","SintaWeddings"
"Bird Arras Arrhae Unity Wedding Coins","Arrhae coins featuring bird motifs, symbolizing blessings in Filipino weddings.","PHP 1666.05","Wedding Ceremony","Arrhae Coins","Gold","Unspecified","Metal","arras, coins, bird motif, Filipino","Unspecified","Unspecified","SintaWeddings"
"Rosette Wedding Unity Cord Lasso Yugal","A unity cord lasso adorned with rosette details, used in Filipino ceremonies.","PHP 1727.78","Wedding Ceremony","Unity Cord","White","Unspecified","Fabric","cord, rosette, Filipino, wedding","Unspecified","Unspecified","SintaWeddings"
"Jusilyn Silk Filipino Unity Veil (Off-White)","A luxurious silk veil in off-white, designed for Filipino cord and veil ceremonies.","PHP 4937.65","Wedding Ceremony","Unity Veil","Off-White","Unspecified","Silk","veil, silk, Filipino, wedding","Unspecified","Unspecified","SintaWeddings"
"Bell Arras Arrhae Unity Wedding Coins","Arrhae coins with bell motifs, symbolizing harmony in Filipino weddings.","PHP 1604.32","Wedding Ceremony","Arrhae Coins","Gold","Unspecified","Metal","arras, coins, bell motif, Filipino","Unspecified","Unspecified","SintaWeddings"
"Golden Bloom Yugal Unity Cord Lasso","A unity cord lasso decorated with golden bloom accents, symbolizing love and unity.","PHP 2283.33","Wedding Ceremony","Unity Cord","Gold","Unspecified","Fabric","cord, bloom motif, Filipino, wedding","Unspecified","Unspecified","SintaWeddings"
"Rose Pearl Yugal Unity Cord Lasso","A unity cord lasso embellished with rose and pearl details, blending elegance with tradition.","PHP 2283.33","Wedding Ceremony","Unity Cord","White","Unspecified","Fabric, pearl","cord, rose pearl, Filipino, wedding","Unspecified","Unspecified","SintaWeddings"
"Ceremony Wedding Ring Pillow","A handmade Filipino wedding ring pillow, crafted with care for ceremonial use.","PHP 3024.07","Wedding Ceremony","Ring Pillow","White","Small","Fabric","pillow, handmade, Filipino, wedding","Unspecified","Unspecified","SintaWeddings"
"Birds of Paradise Unity Veil (White)","A veil featuring birds of paradise motifs, symbolizing beauty in Filipino weddings.","PHP 2715.43","Wedding Ceremony","Unity Veil","White","Unspecified","Fabric","veil, birds of paradise, Filipino, wedding","Unspecified","Unspecified","SintaWeddings"
"Glossy Pearl Rosary Wedding Unity Cord Lasso Yugal","A unity cord lasso made with glossy pearl rosary beads, combining faith and tradition.","PHP 4135.80","Wedding Ceremony","Unity Cord","White","Unspecified","Rosary beads, pearl","cord, rosary, pearl, Filipino, wedding","Unspecified","Unspecified","SintaWeddings"
"Tres Santan Mother of Pearl Shell Flower Bracelet","A handcrafted bracelet featuring three santan flower motifs made from mother-of-pearl shells.","PHP 3332.72","Jewelry","Bracelet","White","Unspecified","Mother of pearl","bracelet, santan flower, Filipino, shell","Unspecified","Unspecified","SintaWeddings"
"Indigenous Olo Spiral Brass Ring","A spiral-shaped brass ring inspired by indigenous Filipino design traditions.","PHP 1851.23","Jewelry","Ring","Gold","Unspecified","Brass","ring, spiral, indigenous, brass, Filipino","Unspecified","Unspecified","SintaWeddings"
"Indigenous Klifus Brass Earrings","Handcrafted brass earrings with Klifus-inspired indigenous patterns.","PHP 1604.94","Jewelry","Earrings","Gold","Unspecified","Brass","earrings, indigenous, brass, Filipino","Unspecified","Unspecified","SintaWeddings"
"Indigenous Fishtail Adjustable Cuff Brass Bracelet","A brass cuff bracelet with fishtail-inspired indigenous design, adjustable for comfort.","PHP 2098.52","Jewelry","Bracelet","Gold","Unspecified","Brass","bracelet, fishtail, indigenous, brass, Filipino","Unspecified","Unspecified","SintaWeddings"
"Mini South Sea Pearl String Bracelet","A delicate bracelet featuring small South Sea pearls strung together.","PHP 3456.17","Jewelry","Bracelet","White","Unspecified","South Sea pearls","bracelet, pearls, Filipino, handmade","Unspecified","Unspecified","SintaWeddings"
"Indigenous Bluso Bnetek Adjustable Brass Bracelet","An adjustable brass bracelet with Bluso Bnetek indigenous design motifs.","PHP 2098.52","Jewelry","Bracelet","Gold","Unspecified","Brass","bracelet, indigenous, brass, Filipino","Unspecified","Unspecified","SintaWeddings"
"Indigenous Nonom Adjustable Brass Bangle","A handcrafted brass bangle with Nonom-inspired indigenous design, adjustable fit.","PHP 2098.52","Jewelry","Bangle","Gold","Unspecified","Brass","bangle, indigenous, brass, Filipino","Unspecified","Unspecified","SintaWeddings"
"Indigenous Fishtail Brass Earrings","Earrings crafted in brass with fishtail-inspired indigenous design.","PHP 1851.23","Jewelry","Earrings","Gold","Unspecified","Brass","earrings, fishtail, indigenous, brass, Filipino","Unspecified","Unspecified","SintaWeddings"
"Indigenous Spiral Brass Earrings","Brass earrings featuring spiral indigenous motifs, handcrafted for cultural authenticity.","PHP 1851.23","Jewelry","Earrings","Gold","Unspecified","Brass","earrings, spiral, indigenous, brass, Filipino","Unspecified","Unspecified","SintaWeddings"
"Indigenous Brass Adjustable Ring","A simple yet elegant adjustable brass ring inspired by Filipino indigenous artistry.","PHP 1604.94","Jewelry","Ring","Gold","Unspecified","Brass","ring, adjustable, indigenous, brass, Filipino","Unspecified","Unspecified","SintaWeddings"
"Indigenous Brass Hoop Earrings","Hoop earrings handcrafted from brass, reflecting indigenous Filipino design.","PHP 1851.23","Jewelry","Earrings","Gold","Unspecified","Brass","earrings, hoop, indigenous, brass, Filipino","Unspecified","Unspecified","SintaWeddings"
"Indigenous Brass Leaf Earrings","Brass earrings shaped like leaves, inspired by indigenous Filipino motifs.","PHP 1851.23","Jewelry","Earrings","Gold","Unspecified","Brass","earrings, leaf, indigenous, brass, Filipino","Unspecified","Unspecified","SintaWeddings"
"Indigenous Brass Adjustable Spiral Bracelet","A spiral-patterned brass bracelet, adjustable to fit, inspired by indigenous Filipino art.","PHP 2098.52","Jewelry","Bracelet","Gold","Unspecified","Brass","bracelet, spiral, indigenous, brass, Filipino","Unspecified","Unspecified","SintaWeddings"
"Indigenous Brass Adjustable Leaf Bracelet","A brass bracelet with leaf motifs, adjustable for comfort, handcrafted by Filipino artisans.","PHP 2098.52","Jewelry","Bracelet","Gold","Unspecified","Brass","bracelet, leaf, indigenous, brass, Filipino","Unspecified","Unspecified","SintaWeddings"
"Indigenous Brass Adjustable Hoop Bracelet","A hoop-inspired brass bracelet, adjustable, reflecting indigenous Filipino craftsmanship.","PHP 2098.52","Jewelry","Bracelet","Gold","Unspecified","Brass","bracelet, hoop, indigenous, brass, Filipino","Unspecified","Unspecified","SintaWeddings"
"Indigenous Brass Adjustable Ring with Leaf Motif","A brass ring with leaf-inspired indigenous design, adjustable for fit.","PHP 1604.94","Jewelry","Ring","Gold","Unspecified","Brass","ring, leaf motif, indigenous, brass, Filipino","Unspecified","Unspecified","SintaWeddings"
"Indigenous Brass Adjustable Ring with Spiral Motif","A brass ring featuring spiral indigenous design, adjustable for size.","PHP 1604.94","Jewelry","Ring","Gold","Unspecified","Brass","ring, spiral motif, indigenous, brass, Filipino","Unspecified","Unspecified","SintaWeddings"
"Indigenous Brass Adjustable Ring with Hoop Motif","A brass ring with hoop-inspired indigenous design, adjustable fit.","PHP 1604.94","Jewelry","Ring","Gold","Unspecified","Brass","ring, hoop motif, indigenous, brass, Filipino","Unspecified","Unspecified","SintaWeddings"
"Indigenous Brass Adjustable Ring with Fishtail Motif","A brass ring featuring fishtail-inspired indigenous design, adjustable for comfort.","PHP 1604.94","Jewelry","Ring","Gold","Unspecified","Brass","ring, fishtail motif, indigenous, brass, Filipino","Unspecified","Unspecified","SintaWeddings"
"Indigenous Brass Adjustable Ring with Bluso Bnetek Motif","A brass ring with Bluso Bnetek indigenous design, adjustable fit.","PHP 1604.94","Jewelry","Ring","Gold","Unspecified","Brass","ring, Bluso Bnetek motif, indigenous, brass, Filipino","Unspecified","Unspecified","SintaWeddings"
"Indigenous Brass Adjustable Ring with Nonom Motif","A brass ring featuring Nonom-inspired indigenous design, adjustable for size.","PHP 1604.94","Jewelry","Ring","Gold","Unspecified","Brass","ring, Nonom motif, indigenous, brass, Filipino","Unspecified","Unspecified","SintaWeddings"
