Product name,Product description,Category,Subcategory,Color,Size,Material,Tags,TEXT_CONTENT,TOKENS,TOKENS_FILTERED,TOKENS_LEMMATIZED,TAGS_LIST,TAGS_LIST_FINAL,PROCESSED_TEXT
Flowers Convertible Puso Wedding Tote,"A versatile hobo-style tote embroidered with floral motifs, designed for weddings and crafted from upcycled fabric and leather.",Bags,Wedding Tote,White,UNSPECIFIED,"Upcycled Fabric, Leather","wedding, tote, floral embroidery, Filipino, sustainable","Flowers Convertible Puso Wedding Tote A versatile hobo-style tote embroidered with floral motifs, designed for weddings and crafted from upcycled fabric and leather. White UNSPECIFIED Upcycled Fabric, Leather","['Flowers', 'Convertible', 'Puso', 'Wedding', 'Tote', 'A', 'versatile', 'hobo-style', 'tote', 'embroidered', 'with', 'floral', 'motifs', ',', 'designed', 'for', 'weddings', 'and', 'crafted', 'from', 'upcycled', 'fabric', 'and', 'leather', '.', 'White', 'UNSPECIFIED', 'Upcycled', 'Fabric', ',', 'Leather']","['Flowers', 'Convertible', 'Puso', 'Wedding', 'Tote', 'hobo-style', 'embroidered', 'floral', 'motifs', 'weddings', 'crafted', 'upcycled', 'fabric', 'leather', 'White', 'UNSPECIFIED', 'Upcycled', 'Fabric', 'Leather']","['Flowers', 'Convertible', 'Puso', 'Wedding', 'Tote', 'hobo-style', 'embroidered', 'floral', 'motif', 'wedding', 'crafted', 'upcycled', 'fabric', 'leather', 'White', 'UNSPECIFIED', 'Upcycled', 'Fabric', 'Leather']","['wedding', 'tote', 'floral embroidery', 'Filipino', 'sustainable']","['wedding', 'tote', 'floral embroidery', 'Filipino', 'sustainable']",flower convertible puso wedding tote hobo-style embroidered floral motif wedding crafted upcycled fabric leather white unspecified upcycled fabric leather
Manila Jeepney 3-in-1 Handbag,"A colorful handbag inspired by the iconic jeepney, featuring upcycled fabric and leather with multifunctional design.",Bags,Handbag,Multicolor,UNSPECIFIED,"Upcycled Fabric, Leather","jeepney, handbag, Filipino, sustainable","Manila Jeepney 3-in-1 Handbag A colorful handbag inspired by the iconic jeepney, featuring upcycled fabric and leather with multifunctional design. Multicolor UNSPECIFIED Upcycled Fabric, Leather","['Manila', 'Jeepney', '3-in-1', 'Handbag', 'A', 'colorful', 'handbag', 'inspired', 'by', 'the', 'iconic', 'jeepney', ',', 'featuring', 'upcycled', 'fabric', 'and', 'leather', 'with', 'multifunctional', 'design', '.', 'Multicolor', 'UNSPECIFIED', 'Upcycled', 'Fabric', ',', 'Leather']","['Manila', 'Jeepney', '3-in-1', 'Handbag', 'colorful', 'handbag', 'iconic', 'jeepney', 'upcycled', 'fabric', 'leather', 'multifunctional', 'design', 'Multicolor', 'UNSPECIFIED', 'Upcycled', 'Fabric', 'Leather']","['Manila', 'Jeepney', '3-in-1', 'Handbag', 'colorful', 'handbag', 'iconic', 'jeepney', 'upcycled', 'fabric', 'leather', 'multifunctional', 'design', 'Multicolor', 'UNSPECIFIED', 'Upcycled', 'Fabric', 'Leather']","['jeepney', 'handbag', 'Filipino', 'sustainable']","['jeepney', 'Filipino', 'sustainable']",manila jeepney 3-in-1 handbag colorful handbag iconic jeepney upcycled fabric leather multifunctional design multicolor unspecified upcycled fabric leather
Vinia Hardin Fanny Pack,"A belt-style fanny pack handwoven with upcycled fabric and leather, blending practicality with Filipino craftsmanship.",Bags,Fanny Pack,Black,UNSPECIFIED,"Upcycled Fabric, Leather","fanny pack, Filipino, sustainable","Vinia Hardin Fanny Pack A belt-style fanny pack handwoven with upcycled fabric and leather, blending practicality with Filipino craftsmanship. Black UNSPECIFIED Upcycled Fabric, Leather","['Vinia', 'Hardin', 'Fanny', 'Pack', 'A', 'belt-style', 'fanny', 'pack', 'handwoven', 'with', 'upcycled', 'fabric', 'and', 'leather', ',', 'blending', 'practicality', 'with', 'Filipino', 'craftsmanship', '.', 'Black', 'UNSPECIFIED', 'Upcycled', 'Fabric', ',', 'Leather']","['Vinia', 'Hardin', 'Fanny', 'Pack', 'belt-style', 'fanny', 'pack', 'handwoven', 'upcycled', 'fabric', 'leather', 'blending', 'practicality', 'Filipino', 'craftsmanship', 'Black', 'UNSPECIFIED', 'Upcycled', 'Fabric', 'Leather']","['Vinia', 'Hardin', 'Fanny', 'Pack', 'belt-style', 'fanny', 'pack', 'handwoven', 'upcycled', 'fabric', 'leather', 'blending', 'practicality', 'Filipino', 'craftsmanship', 'Black', 'UNSPECIFIED', 'Upcycled', 'Fabric', 'Leather']","['fanny pack', 'Filipino', 'sustainable']","['Filipino', 'sustainable']",vinia hardin fanny pack belt-style fanny pack handwoven upcycled fabric leather blending practicality filipino craftsmanship black unspecified upcycled fabric leather
Sling Bag (Pinilian/Inabel Weave),"A crossbody sling bag showcasing traditional Pinilian/Inabel weaving, paired with upcycled fabric for modern use.",Bags,Sling Bag,Blue,UNSPECIFIED,"Upcycled Fabric, Pinilian/Inabel Weave","sling bag, Filipino, handwoven, sustainable","Sling Bag (Pinilian/Inabel Weave) A crossbody sling bag showcasing traditional Pinilian/Inabel weaving, paired with upcycled fabric for modern use. Blue UNSPECIFIED Upcycled Fabric, Pinilian/Inabel Weave","['Sling', 'Bag', '(', 'Pinilian/Inabel', 'Weave', ')', 'A', 'crossbody', 'sling', 'bag', 'showcasing', 'traditional', 'Pinilian/Inabel', 'weaving', ',', 'paired', 'with', 'upcycled', 'fabric', 'for', 'modern', 'use', '.', 'Blue', 'UNSPECIFIED', 'Upcycled', 'Fabric', ',', 'Pinilian/Inabel', 'Weave']","['Sling', 'Bag', 'Pinilian/Inabel', 'Weave', 'crossbody', 'sling', 'bag', 'showcasing', 'traditional', 'Pinilian/Inabel', 'weaving', 'paired', 'upcycled', 'fabric', 'modern', 'use', 'Blue', 'UNSPECIFIED', 'Upcycled', 'Fabric', 'Pinilian/Inabel', 'Weave']","['Sling', 'Bag', 'Pinilian/Inabel', 'Weave', 'crossbody', 'sling', 'bag', 'showcasing', 'traditional', 'Pinilian/Inabel', 'weaving', 'paired', 'upcycled', 'fabric', 'modern', 'use', 'Blue', 'UNSPECIFIED', 'Upcycled', 'Fabric', 'Pinilian/Inabel', 'Weave']","['sling bag', 'Filipino', 'handwoven', 'sustainable']","['sling bag', 'Filipino', 'handwoven', 'sustainable']",sling bag pinilian/inabel weave crossbody sling bag showcasing traditional pinilian/inabel weaving paired upcycled fabric modern use blue unspecified upcycled fabric pinilian/inabel weave
Alon Woven Waves Shoulder Bag,"A shoulder bag with wave-pattern weaving, combining upcycled fabric and leather for a bold, eco-conscious design.",Bags,Shoulder Bag,Blue,UNSPECIFIED,"Upcycled Fabric, Leather","shoulder bag, woven waves, Filipino, sustainable","Alon Woven Waves Shoulder Bag A shoulder bag with wave-pattern weaving, combining upcycled fabric and leather for a bold, eco-conscious design. Blue UNSPECIFIED Upcycled Fabric, Leather","['Alon', 'Woven', 'Waves', 'Shoulder', 'Bag', 'A', 'shoulder', 'bag', 'with', 'wave-pattern', 'weaving', ',', 'combining', 'upcycled', 'fabric', 'and', 'leather', 'for', 'a', 'bold', ',', 'eco-conscious', 'design', '.', 'Blue', 'UNSPECIFIED', 'Upcycled', 'Fabric', ',', 'Leather']","['Alon', 'Woven', 'Waves', 'Shoulder', 'Bag', 'shoulder', 'bag', 'wave-pattern', 'weaving', 'combining', 'upcycled', 'fabric', 'leather', 'bold', 'eco-conscious', 'design', 'Blue', 'UNSPECIFIED', 'Upcycled', 'Fabric', 'Leather']","['Alon', 'Woven', 'Waves', 'Shoulder', 'Bag', 'shoulder', 'bag', 'wave-pattern', 'weaving', 'combining', 'upcycled', 'fabric', 'leather', 'bold', 'eco-conscious', 'design', 'Blue', 'UNSPECIFIED', 'Upcycled', 'Fabric', 'Leather']","['shoulder bag', 'woven waves', 'Filipino', 'sustainable']","['shoulder bag', 'Filipino', 'sustainable']",alon woven wave shoulder bag shoulder bag wave-pattern weaving combining upcycled fabric leather bold eco-conscious design blue unspecified upcycled fabric leather
Buslo Micro Crossbody Bag,"A compact crossbody bag crafted from upcycled fabric and leather, designed for everyday wear with Filipino flair.",Bags,Crossbody Bag,Brown,SMALL,"Upcycled Fabric, Leather","micro bag, crossbody, Filipino, sustainable","Buslo Micro Crossbody Bag A compact crossbody bag crafted from upcycled fabric and leather, designed for everyday wear with Filipino flair. Brown SMALL Upcycled Fabric, Leather","['Buslo', 'Micro', 'Crossbody', 'Bag', 'A', 'compact', 'crossbody', 'bag', 'crafted', 'from', 'upcycled', 'fabric', 'and', 'leather', ',', 'designed', 'for', 'everyday', 'wear', 'with', 'Filipino', 'flair', '.', 'Brown', 'SMALL', 'Upcycled', 'Fabric', ',', 'Leather']","['Buslo', 'Micro', 'Crossbody', 'Bag', 'compact', 'crossbody', 'bag', 'crafted', 'upcycled', 'fabric', 'leather', 'everyday', 'wear', 'Filipino', 'flair', 'Brown', 'SMALL', 'Upcycled', 'Fabric', 'Leather']","['Buslo', 'Micro', 'Crossbody', 'Bag', 'compact', 'crossbody', 'bag', 'crafted', 'upcycled', 'fabric', 'leather', 'everyday', 'wear', 'Filipino', 'flair', 'Brown', 'SMALL', 'Upcycled', 'Fabric', 'Leather']","['micro bag', 'crossbody', 'Filipino', 'sustainable']","['crossbody', 'Filipino', 'sustainable']",buslo micro crossbody bag compact crossbody bag crafted upcycled fabric leather everyday wear filipino flair brown small upcycled fabric leather
Luna Abaca Clutch,"A handwoven clutch made from abaca fiber, adorned with floral embroidery for a refined Filipino aesthetic.",Bags,Clutch,Natural,UNSPECIFIED,"Abaca Fiber, Embroidery","clutch, abaca, floral embroidery, Filipino","Luna Abaca Clutch A handwoven clutch made from abaca fiber, adorned with floral embroidery for a refined Filipino aesthetic. Natural UNSPECIFIED Abaca Fiber, Embroidery","['Luna', 'Abaca', 'Clutch', 'A', 'handwoven', 'clutch', 'made', 'from', 'abaca', 'fiber', ',', 'adorned', 'with', 'floral', 'embroidery', 'for', 'a', 'refined', 'Filipino', 'aesthetic', '.', 'Natural', 'UNSPECIFIED', 'Abaca', 'Fiber', ',', 'Embroidery']","['Luna', 'Abaca', 'Clutch', 'handwoven', 'clutch', 'abaca', 'fiber', 'adorned', 'floral', 'embroidery', 'refined', 'Filipino', 'aesthetic', 'Natural', 'UNSPECIFIED', 'Abaca', 'Fiber', 'Embroidery']","['Luna', 'Abaca', 'Clutch', 'handwoven', 'clutch', 'abaca', 'fiber', 'adorned', 'floral', 'embroidery', 'refined', 'Filipino', 'aesthetic', 'Natural', 'UNSPECIFIED', 'Abaca', 'Fiber', 'Embroidery']","['clutch', 'abaca', 'floral embroidery', 'Filipino']","['abaca', 'floral embroidery', 'Filipino']",luna abaca clutch handwoven clutch abaca fiber adorned floral embroidery refined filipino aesthetic natural unspecified abaca fiber embroidery
Sampaguita Sobre Wedding Shoulder Bag,"A wedding shoulder bag embroidered with sampaguita flowers, symbolizing purity and Filipino heritage.",Bags,Wedding Shoulder Bag,White,UNSPECIFIED,"Upcycled Fabric, Embroidery","sampaguita, wedding bag, embroidery, Filipino","Sampaguita Sobre Wedding Shoulder Bag A wedding shoulder bag embroidered with sampaguita flowers, symbolizing purity and Filipino heritage. White UNSPECIFIED Upcycled Fabric, Embroidery","['Sampaguita', 'Sobre', 'Wedding', 'Shoulder', 'Bag', 'A', 'wedding', 'shoulder', 'bag', 'embroidered', 'with', 'sampaguita', 'flowers', ',', 'symbolizing', 'purity', 'and', 'Filipino', 'heritage', '.', 'White', 'UNSPECIFIED', 'Upcycled', 'Fabric', ',', 'Embroidery']","['Sampaguita', 'Sobre', 'Wedding', 'Shoulder', 'Bag', 'wedding', 'shoulder', 'bag', 'embroidered', 'sampaguita', 'flowers', 'symbolizing', 'purity', 'Filipino', 'heritage', 'White', 'UNSPECIFIED', 'Upcycled', 'Fabric', 'Embroidery']","['Sampaguita', 'Sobre', 'Wedding', 'Shoulder', 'Bag', 'wedding', 'shoulder', 'bag', 'embroidered', 'sampaguita', 'flower', 'symbolizing', 'purity', 'Filipino', 'heritage', 'White', 'UNSPECIFIED', 'Upcycled', 'Fabric', 'Embroidery']","['sampaguita', 'wedding bag', 'embroidery', 'Filipino']","['embroidery', 'Filipino']",sampaguita sobre wedding shoulder bag wedding shoulder bag embroidered sampaguita flower symbolizing purity filipino heritage white unspecified upcycled fabric embroidery
Bento Crossbody Bag,"A structured crossbody bag crafted from upcycled fabric and leather, designed for versatility and sustainability.",Bags,Crossbody Bag,Black,UNSPECIFIED,"Upcycled Fabric, Leather","crossbody, Filipino, sustainable","Bento Crossbody Bag A structured crossbody bag crafted from upcycled fabric and leather, designed for versatility and sustainability. Black UNSPECIFIED Upcycled Fabric, Leather","['Bento', 'Crossbody', 'Bag', 'A', 'structured', 'crossbody', 'bag', 'crafted', 'from', 'upcycled', 'fabric', 'and', 'leather', ',', 'designed', 'for', 'versatility', 'and', 'sustainability', '.', 'Black', 'UNSPECIFIED', 'Upcycled', 'Fabric', ',', 'Leather']","['Bento', 'Crossbody', 'Bag', 'structured', 'crossbody', 'bag', 'crafted', 'upcycled', 'fabric', 'leather', 'versatility', 'sustainability', 'Black', 'UNSPECIFIED', 'Upcycled', 'Fabric', 'Leather']","['Bento', 'Crossbody', 'Bag', 'structured', 'crossbody', 'bag', 'crafted', 'upcycled', 'fabric', 'leather', 'versatility', 'sustainability', 'Black', 'UNSPECIFIED', 'Upcycled', 'Fabric', 'Leather']","['crossbody', 'Filipino', 'sustainable']","['crossbody', 'Filipino', 'sustainable']",bento crossbody bag structured crossbody bag crafted upcycled fabric leather versatility sustainability black unspecified upcycled fabric leather
Puso Micro Bag Charms,"Miniature woven bag charms shaped like the traditional puso rice pouch, made with upcycled fabric and leather.",Bags,Bag Charms,Multicolor,MICRO,"Upcycled Fabric, Leather","charm, puso, Filipino, sustainable","Puso Micro Bag Charms Miniature woven bag charms shaped like the traditional puso rice pouch, made with upcycled fabric and leather. Multicolor MICRO Upcycled Fabric, Leather","['Puso', 'Micro', 'Bag', 'Charms', 'Miniature', 'woven', 'bag', 'charms', 'shaped', 'like', 'the', 'traditional', 'puso', 'rice', 'pouch', ',', 'made', 'with', 'upcycled', 'fabric', 'and', 'leather', '.', 'Multicolor', 'MICRO', 'Upcycled', 'Fabric', ',', 'Leather']","['Puso', 'Micro', 'Bag', 'Charms', 'Miniature', 'woven', 'bag', 'charms', 'shaped', 'like', 'traditional', 'puso', 'rice', 'pouch', 'upcycled', 'fabric', 'leather', 'Multicolor', 'MICRO', 'Upcycled', 'Fabric', 'Leather']","['Puso', 'Micro', 'Bag', 'Charms', 'Miniature', 'woven', 'bag', 'charm', 'shaped', 'like', 'traditional', 'puso', 'rice', 'pouch', 'upcycled', 'fabric', 'leather', 'Multicolor', 'MICRO', 'Upcycled', 'Fabric', 'Leather']","['charm', 'puso', 'Filipino', 'sustainable']","['Filipino', 'sustainable']",puso micro bag charm miniature woven bag charm shaped like traditional puso rice pouch upcycled fabric leather multicolor micro upcycled fabric leather
